Player,POS_prefix,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,TOT_TDS,FPTS,FPTS_BIN,RECEIVING_REC_BIN,TOT_TDS_BIN
Zamir White LV,RB,67.9,263.3,1.6,11.5,80.5,0.4,2.0,57.5,50-74,10-19,0-4
Dawson Knox BUF,TE,0.0,0.0,0.0,21.9,237.8,1.9,1.9,57.1,50-74,20-29,0-4
Terrance Ferguson LAR,TE,0.0,0.0,0.0,23.0,235.4,1.9,1.9,57.1,50-74,20-29,0-4
Jaylin Noel HOU,WR,0.0,13.0,0.0,21.8,251.2,1.4,1.4,56.7,50-74,20-29,0-4
Kenneth Gainwell PIT,RB,59.5,229.6,1.6,12.7,89.7,0.4,2.0,56.0,50-74,10-19,0-4
Jaleel McLaughlin DEN,RB,39.6,169.3,0.9,18.1,109.8,0.9,1.8,55.9,50-74,10-19,0-4
Jalen McMillan TB,WR,1.4,12.2,0.0,18.0,222.6,2.3,2.3,54.5,50-74,10-19,0-4
Jack Bech LV,WR,0.0,2.5,0.0,20.0,243.1,1.5,1.5,53.4,50-74,10-19,0-4
Gabe Davis BUF,WR,0.0,0.0,0.0,17.0,242.0,2.0,2.0,53.2,50-74,10-19,0-4
Kyle Monangai CHI,RB,44.3,265.6,2.4,6.4,45.5,0.1,2.5,52.1,50-74,0-9,0-4
Gunnar Helm TEN,TE,0.0,0.0,0.0,23.0,225.8,1.2,1.2,52.0,50-74,20-29,0-4
Devin Neal NO,RB,53.6,247.8,1.7,8.3,61.6,0.4,2.1,51.6,50-74,0-9,0-4
Jarquez Hunter LAR,RB,61.6,250.9,2.0,7.1,61.3,0.4,2.4,51.5,50-74,0-9,0-4
Chimere Dike TEN,WR,2.1,8.9,0.0,18.8,222.8,1.5,1.5,50.9,50-74,10-19,0-4
Foster Moreau NO,TE,0.0,0.0,0.0,19.1,217.9,1.5,1.5,50.0,50-74,10-19,0-4
